	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES1-25_S22	AT32	25	4	Cast	11/18/15	11:30	46.2	-37.867	morning	24	Deep	5	5.453	1026.5808	1026.5804	35.9184	1509.56	1509.57	0	2.5709	15.5539	4.448132	4.448275	98.0424	0.079	0.4775	0.0481	4.6094017	59.8					57.1	2	1.6				7.4	2	0	0		0.19		1.52		3.09		0.15		5.41	0.08	0.244965853	0.105379411	0.350345264	0.336	0.076	0.077	0.016	0.045	0.075	0.01	0.016	0.001	0.029	0.006	0.022	0.305	0.028	0.003	0.074	0.002	0.036	0.041	0.001	0.007	0.008	0.002	0.009	0.018		0.489	0.065	0.155	0.644	0.22	0.373	0.709	0.263	1.11	0.7	0.3	2.22	0.09	0.91	0.47	8.91	2	0.25	3.19	2		4.96															1.01E+02	1.01E+02	-9.38E-07	Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-26_S23	AT32	26	4	Cast	11/18/15	11:30	46.2	-37.867	morning	20	Deep	25	27.167	1026.6754	1026.6753	35.9149	1509.9	1509.9	0	2.5642	15.5472	4.448121	4.448193	98.1318	0.0755	0.4793	0.056	4.6094017	30.3					57.3	2	1.5				7	2	0	0		0.22		1.57		3.16		0.16		5.43	0.01	0.264142473	0.117300649	0.381443122	0.319	0.078	0.07	0.016	0.042	0.067	0.008	0.012		0.028	0.005	0.022	0.289	0.028	0.002	0.075	0.003	0.032	0.038	0.001	0.006	0.006	0.003	0.008	0.017		0.467	0.058	0.142	0.609	0.2	0.348	0.667	0.25	1.09	0.71	0.29	2.33	0.09	0.91	0.48	11.54	2	0.36	3.29	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-27_S24	AT32	27	4	Cast	11/18/15	11:30	46.2	-37.867	morning	18	Deep	50	51.892	1026.7876	1026.7876	35.911	1510.22	1510.23	0	2.556	15.5209	4.446143	4.44623	98.1187	0.076	0.4808	0.0563	4.6143854	29.7					55.6	2	0.3				8.7	2	0	0		0.3		2.29		4.6		0.11		5.4	0.02	0.250002534	0.099216134	0.349218668	0.342	0.079	0.077	0.016	0.046	0.079	0.009	0.011		0.028	0.006	0.021	0.309	0.029	0.004	0.076	0.003	0.035	0.042		0.007	0.005	0.003	0.009	0.017		0.498	0.057	0.159	0.657	0.216	0.372	0.714	0.268	1.09	0.74	0.26	2.3	0.08	0.92	0.48	9.23	2	0.49	2.87	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-28_S25	AT32	28	4	Cast	11/18/15	11:30	46.2	-37.867	morning	16	Deep	75	75.67	1026.8915	1026.8914	35.9108	1510.63	1510.64	0	2.5468	15.5257	4.447676	4.447774	98.1171	0.0761	0.4717	0.055	4.6193691																											0.249933475	0.120175578	0.370109053	0.348	0.078	0.079	0.017	0.047	0.079	0.009	0.011		0.028	0.006	0.021	0.316	0.029	0.003	0.075	0.003	0.036	0.043	0.001	0.007	0.005	0.003	0.007	0.016		0.505	0.058	0.16	0.665	0.218	0.375	0.723	0.268	1.08	0.73	0.27	2.31	0.08	0.92	0.48																									Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-29_S26	AT32	29	4	Cast	11/18/15	11:30	46.2	-37.867	morning	13	Deep	100	101.536	1027.0068	1027.0067	35.9094	1511.03	1511.03	0	2.5412	15.5159	4.447661	4.447791	98.0811	0.0775	0.4548	0.0577	4.6094017	27.6					58.7	2	0.2				7.3	2	0	0		0.21		1.57		3.2		0.12		5.45		0.268602909	0.117977704	0.386580613	0.183	0.043	0.041	0.008	0.024	0.042	0.005	0.006		0.015	0.003	0.011	0.166	0.015	0.002	0.041	0.002	0.019	0.022		0.003	0.003	0.001	0.004	0.009		0.267	0.03	0.084	0.351	0.114	0.198	0.381	0.143	1.08	0.74	0.26	2.34	0.08	0.92	0.48	8.49	2	0.65	3.15	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-30_S27	AT32	30	4	Cast	11/18/15	11:30	46.2	-37.867	morning	11	Deep	150	153.561	1027.3443	1027.3432	36.1279	1512.96	1512.97	0	2.3611	15.7826	4.500877	4.501364	99.2217	0.0313	0.018	0.0389	4.6094017	11.1					53	2	0.7				9.3	2	0	0		0.38		2.49		6.62		0.05		5	0.02	0.003253816	0.014185075	0.017438891																																										1.62	2	0.18	1.09	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-31_S28	AT32	31	4	Cast	11/18/15	11:30	46.2	-37.867	morning	9	Deep	200	202.712	1027.6067	1027.6062	36.0219	1511.92	1511.93	0	2.3472	15.2237	4.434929	4.435247	99.3072	0.0278	0.0159	0.0327	4.6094017	9.3					52.7	2	1				10.9	2	0	0		0.45		2.81		7.29		0.04		5.1	0.11	0.001948592	0.008240206	0.010188798																																										3.19	3	0.64	0.93	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-32_S29	AT32	32	4	Cast	11/18/15	11:30	46.2	-37.867	morning	7	Deep	300	303.105	1028.1465	1028.146	35.8042	1509.54	1509.54	0	2.3454	14.0328	4.296673	4.296721	99.3116	0.0277	0.0273	0.0331	4.6143854						53.1	2	0.6				10.8	2	0	0		0.5		3.14		8.14		0		5.12	0.22																																													1.24	2	0.19	0.9	2																				Y	Periphery	Anticyclone	Weak	Subtropical	20.9	0.8	1.16	60.6656148	96	no
NAAMES1-33_S30	AT32	33	5	Cast	11/20/15	9:07	43.835	-37.514	morning	24	Deep	5	10.524	1026.4034	1026.4031	35.8791	1511.87	1511.87	0	2.6042	16.2912	4.518682	4.518725	97.874	0.086	0.6065	0.0516	4.6094017	41.7					58.8	2	0.7				5.7	2	0	0.01		0.14		1.19		1.51		0.07		5.5	0.02	0.268472678	0.108937379	0.377410057	0.34	0.064	0.095	0.017	0.068	0.106	0.004	0.014		0.03	0.006	0.023	0.299	0.039	0.002	0.059	0.005	0.041	0.054	0.001	0.005	0.004	0.003	0.005	0.01		0.499	0.058	0.21	0.709	0.268	0.427	0.767	0.301	1.26	0.78	0.22	1.86	0.08	0.92	0.44	11.77	2	0.99	3.34	2		6.91						4076	3114	962	60	48	73	8191	8826	5494	7.91E+01	7.39E+01	2.70E-05	N				Subtropical			1.23	66.24198241	88	no
NAAMES1-34_S31	AT32	34	5	Cast	11/20/15	9:07	43.835	-37.514	morning	20	Deep	25	26.763	1026.474	1026.4738	35.8763	1512.12	1512.12	0	2.5992	16.286	4.518602	4.518619	97.8866	0.0855	0.5817	0.0531	4.6094017	33.3					59.1	2	0.2				5.6	2	0	0.07		0.14		1.19		1.53		0.13		5.45	0	0.292288802	0.118447114	0.410735916	0.324	0.063	0.087	0.017	0.065	0.093	0.004	0.012		0.027	0.005	0.023	0.282	0.039	0.003	0.058	0.005	0.038	0.049	0.001	0.005	0.004	0.002	0.005	0.01		0.474	0.056	0.19	0.664	0.246	0.396	0.72	0.28	1.22	0.77	0.23	1.92	0.08	0.92	0.45	11.4	2	0.78	3.27	2																				N				Subtropical			1.23	66.24198241	88	no
NAAMES1-35_S32	AT32	35	5	Cast	11/20/15	9:07	43.835	-37.514	morning	18	Deep	50	52.305	1026.5856	1026.585	35.8773	1512.57	1512.58	0	2.5886	16.2953	4.520708	4.520833	97.9106	0.0845	0.6362	0.054	4.6891406	31.6					58.7	2	0.3				5.4	2	0	0.02		0.17		1.18		1.56		0.19		5.48	0	0.264959951	0.103112755	0.368072706	0.342	0.065	0.097	0.017	0.068	0.105	0.004	0.013		0.028	0.005	0.024	0.301	0.039	0.002	0.06	0.005	0.042	0.055	0.001	0.005	0.004	0.003	0.005	0.01		0.504	0.058	0.206	0.71	0.264	0.426	0.768	0.299	1.25	0.78	0.22	1.91	0.08	0.92	0.45	16.15	2	0.18	3.42	2																				N				Subtropical			1.23	66.24198241	88	no
NAAMES1-36_S33	AT32	36	5	Cast	11/20/15	9:07	43.835	-37.514	morning	16	Deep	75	76.872	1026.7041	1026.7048	35.9454	1513.57	1513.59	0	2.5619	16.4692	4.546465	4.547257	98.3334	0.0672	0.4151	0.0482	4.6094017																											0.141266747	0.08416525	0.225431997	0.195	0.038	0.052	0.011	0.043	0.058	0.002	0.007		0.016	0.003	0.017	0.164	0.03	0.001	0.033	0.005	0.021	0.031		0.002	0.002	0.002	0.006	0.005		0.285	0.037	0.12	0.405	0.157	0.247	0.442	0.177	1.27	0.76	0.24	1.82	0.08	0.92	0.44																									N				Subtropical			1.23	66.24198241	88	no
NAAMES1-37_S34	AT32	37	5	Cast	11/20/15	9:07	43.835	-37.514	morning	13	Deep	100	102.873	1027.0815	1027.0815	36.0066	1511.24	1511.25	0	2.3759	15.5419	4.461084	4.461218	98.9972	0.0403	0.1061	0.0429	4.5994343	23.1					53.5	2	0.2				9.1	2	0	0.13		0.37		2.17		5.96		0.07		5.05	0	0.029009114	0.01228233	0.041291444	0.011	0.003	0.004	0.001	0.004	0.004				0.001		0.001	0.009	0.002		0.001	0.002	0.001	0.003								0.018	0.002	0.009	0.027	0.011	0.018	0.029	0.013	1.68	0.79	0.21	1.57	0.08	0.92	0.37	4.33	2	0.41	1.44	2																				N				Subtropical			1.23	66.24198241	88	no
NAAMES1-38_S35	AT32	38	5	Cast	11/20/15	9:07	43.835	-37.514	morning	11	Deep	150	152.738	1027.3908	1027.3915	35.946	1510.11	1510.11	0	2.352	14.9375	4.395885	4.395849	99.1677	0.0335	0.042	0.0365	4.604418	18.9					51	2	0.6				10.4	2	0	0.02		0.46		2.66		7.36		0.03		5.05	0	0.002603053	0.013134483	0.015737536																																										8.46	2	0.47	1.05	2																				N				Subtropical			1.23	66.24198241	88	no
NAAMES1-39	AT32	39	5	Cast	11/20/15	9:07	43.835	-37.514	morning	9	Deep	200	203.175	1027.6756	1027.6749	35.8326	1508.65	1508.68	0	2.3292	14.2672	4.317821	4.318662	99.2326	0.0308	0.0267	0.0353	4.604418	11.9														0.16		0.49		3.02		8.2		0.08		5.11	0	0.001299061	0.00867747	0.009976531																																										4.9	3	0.48																						N				Subtropical			1.23	66.24198241	88	no
NAAMES1-40_S36	AT32	40	5	Cast	11/20/15	9:07	43.835	-37.514	morning	7	Deep	300	304.396	1028.2078	1028.2082	35.7614	1508.16	1508.16	0	2.1653	13.6171	4.250728	4.250906	99.28	0.0289	0.0352	0.0337	4.6143854						49.6	2	0.6				13.3	2	0	0.06		0.67		4.3		10.76		0		4.85	0.05																																													4.07	3	0.6	0.75	2																				N				Subtropical			1.23	66.24198241	88	no
NAAMES1-41_S37	AT32	41	6	Cast	11/23/15	9:37	42.967	-40.183	morning	24	Deep	5	9.738	1026.0516	1026.0516	35.7034	1514.36	1514.36	0	2.613	17.1901	4.589956	4.589977	97.8049	0.0888	0.6509	0.0623	4.7838305	36.6					61.8	2	0.4				4.8	2	0													0.337365254	0.179409811	0.516775065	0.461	0.102	0.104	0.021	0.052	0.1	0.016	0.017		0.052	0.008	0.02	0.433	0.022	0.006	0.099	0.003	0.051	0.053	0.001	0.009	0.008	0.004	0.017	0.025		0.667	0.074	0.212	0.879	0.286	0.492	0.953	0.35	1.07	0.74	0.26	2.33	0.08	0.92	0.48				3.11	2		10.48	13.45														2.32E+01	1.03E+01	2.58E-05	Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-42_S38	AT32	42	6	Cast	11/23/15	9:37	42.967	-40.183	morning	20	Deep	25	25.076	1026.1399	1026.1416	35.7416	1514.74	1514.75	0	2.6027	17.2185	4.597333	4.597924	97.8136	0.0885	0.6485	0.0606	4.604418	38.7					61.3	2	0.4				5.3	2	0.1													0.316104927	0.191636837	0.507741763	0.44	0.101	0.097	0.02	0.047	0.085	0.016	0.014	0.001	0.049	0.01	0.02	0.408	0.022	0.01	0.098	0.003	0.048	0.049		0.009	0.008	0.003	0.016	0.024		0.638	0.071	0.191	0.829	0.262	0.46	0.9	0.328	1.05	0.73	0.27	2.44	0.08	0.92	0.49				3.26	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-43_S39	AT32	43	6	Cast	11/23/15	9:37	42.967	-40.183	morning	18	Deep	50	51.018	1026.4181	1026.4183	35.9859	1515.77	1515.76	0	2.5304	17.321	4.637911	4.637585	98.3192	0.0678	0.4263	0.0536	4.6143854	22.2					58	2	0				5.4	2	0													0.069445148	0.089557233	0.159002381	0.08	0.021	0.019	0.004	0.01	0.016	0.001	0.002		0.013	0.001	0.004	0.074	0.005	0.001	0.02	0.001	0.008	0.011		0.002	0.001	0.001	0.008	0.005		0.12	0.011	0.04	0.16	0.051	0.091	0.171	0.066	1.14	0.78	0.22	2.35	0.06	0.94	0.47				3.34	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-44_S40	AT32	44	6	Cast	11/23/15	9:37	42.967	-40.183	morning	16	Deep	75	76.399	1026.5574	1026.5565	36.0211	1516.23	1516.23	0	2.5106	17.3221	4.643212	4.642882	98.4146	0.0639	0.41	0.0504	4.6094017																											0.234720133	0.200376405	0.435096538	0.278	0.071	0.065	0.012	0.034	0.053	0.005	0.008		0.042	0.002	0.014	0.255	0.017	0.006	0.068	0.003	0.027	0.038		0.006	0.004	0.002	0.016	0.017		0.414	0.039	0.131	0.545	0.17	0.306	0.584	0.221	1.1	0.77	0.23	2.44	0.07	0.93	0.48																									Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-45_S41	AT32	45	6	Cast	11/23/15	9:37	42.967	-40.183	morning	13	Deep	100	100.871	1026.7563	1026.7561	36.3883	1519.29	1519.3	0	2.3295	18.087	4.765204	4.765355	98.9955	0.0404	0.1157	0.0383	4.6094017	11.1					54.4	2	0.3				6.5	2	0													0.042331819	0.065320875	0.107652694	0.068	0.018	0.017	0.003	0.01	0.014	0.001	0.002		0.012		0.003	0.063	0.004	0.001	0.016	0.002	0.007	0.01		0.001	0.001	0.001	0.007	0.005		0.103	0.009	0.036	0.139	0.045	0.08	0.148	0.058	1.18	0.8	0.2	2.29	0.06	0.94	0.46				1.6	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-46_S42	AT32	46	6	Cast	11/23/15	9:37	42.967	-40.183	morning	11	Deep	150	152.394	1027.1177	1027.1169	36.4287	1518.97	1518.98	0	2.2117	17.6688	4.728749	4.728986	99.2664	0.0294	0.0351	0.0336	4.6094017	7.1					50.9	2	0.2				8.8	2	0													0.001518447	0.014219089	0.015737536																																													0.9	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-47_S43	AT32	47	6	Cast	11/23/15	9:37	42.967	-40.183	morning	9	Deep	200	201.991	1027.4425	1027.4424	36.2601	1516.71	1516.72	0	2.2279	16.696	4.611535	4.611629	99.2969	0.0282	0.0258	0.0344	4.6094017	11.8					51.2	2	0.4				10	2	0													0.002598123	0.011411474	0.014009597																																													0.95	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-48_S44	AT32	48	6	Cast	11/23/15	9:37	42.967	-40.183	morning	7	Deep	300	302.764	1028.0406	1028.0404	36.0302	1513.77	1513.77	0	2.247	15.2802	4.446222	4.446348	99.3841	0.0247	0.0167	0.0349	4.5994343						52.1	2	0.4				11.2	2	0																																																												0.83	2																				Y	Periphery	Anticyclone	Strong	Subtropical	32.3	1.2	1.32		66	no
NAAMES1-49_S45	AT32	49	7	Cast	11/24/15	11:17	40.5	-40.483	morning	24	Deep	5	7.963	1026.0417	1026.0416	36.1469	1518.88	1518.88	0	2.6417	18.5744	4.783279	4.783414	97.3209	0.1087	0.8296	0.0751	4.6094017	50.3					60.7	2	1.2				3.8	2	0	0		0.05		0.71		0.08		0.01		5.38	0.06	0.292239965	0.132261362	0.424501327	0.426	0.081	0.109	0.025	0.072	0.134	0.005	0.021	0.001	0.037	0.006	0.056	0.337	0.083	0.006	0.073	0.008	0.053	0.056		0.006	0.008	0.003	0.007	0.014		0.616	0.108	0.249	0.865	0.357	0.547	0.973	0.391	1.28	0.7	0.3	1.73	0.11	0.89	0.44	23.06	2	1.26	5.37	2		15.48															2.68E+01	2.56E+01	4.48E-05	Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-50_S46	AT32	50	7	Cast	11/24/15	11:17	40.5	-40.483	morning	20	Deep	25	26.047	1026.1657	1026.165	36.1356	1518.56	1518.57	0	2.6202	18.3653	4.760819	4.761266	97.8784	0.0858	0.6817	0.0665	4.6143854	35.8					60.2	2	0.7				4.7	2	0	0		0.07		0.66		0.19		0.01		5.32	0.13	0.238161246	0.089790687	0.327951933	0.348	0.078	0.09	0.023	0.071	0.1	0.003	0.01		0.022	0.004	0.045	0.26	0.085	0.003	0.066	0.012	0.041	0.049	0.001	0.004	0.003	0.003	0.004	0.008		0.516	0.081	0.197	0.713	0.278	0.446	0.794	0.323	1.28	0.71	0.29	1.86	0.1	0.9	0.44	18.07	2	0.05	4.45	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-51_S47	AT32	51	7	Cast	11/24/15	11:17	40.5	-40.483	morning	18	Deep	50	50.623	1026.2885	1026.2883	36.1511	1518.95	1518.95	0	2.5983	18.3501	4.762587	4.762624	98.2707	0.0698	0.5243	0.0626	4.6094017	22.6					60.2	2	0.1				4.5	2	0.1	0		0.08		0.68		0.34		0.05		5.27	0.02	0.18589932	0.104243364	0.290142685	0.269	0.062	0.072	0.017	0.055	0.076	0.002	0.008		0.02	0.003	0.03	0.206	0.061	0.002	0.051	0.011	0.031	0.041		0.004	0.002	0.002	0.006	0.007		0.403	0.057	0.154	0.557	0.211	0.345	0.614	0.248	1.28	0.73	0.27	1.91	0.09	0.91	0.44	10.08	2	0.67	3.86	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-52_S48	AT32	52	7	Cast	11/24/15	11:17	40.5	-40.483	morning	16	Deep	75	77.027	1026.4159	1026.4154	36.1583	1519.33	1519.33	0	2.5921	18.326	4.762174	4.762149	98.0097	0.0805	0.5084	0.0656	4.6094017																											0.156480089	0.087276248	0.243756337	0.272	0.062	0.073	0.017	0.056	0.078	0.002	0.008		0.023	0.002	0.031	0.21	0.06	0.002	0.051	0.011	0.031	0.042		0.004	0.002	0.003	0.005	0.007		0.407	0.058	0.159	0.566	0.217	0.352	0.624	0.254	1.29	0.73	0.27	1.88	0.09	0.91	0.44																									Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-53_S49	AT32	53	7	Cast	11/24/15	11:17	40.5	-40.483	morning	13	Deep	100	100.681	1026.6696	1026.6696	36.1972	1518.37	1518.37	0	2.4505	17.8435	4.717867	4.717912	98.9487	0.0423	0.1861	0.045	4.6143854	16.6					57.1	2	0.5				6.3	2	0	0		0.17		1.13		2.67		0.08		4.88	0.35	0.05629917	0.04671877	0.10301794	0.08	0.029	0.023	0.007	0.021	0.022	0.001	0.002		0.007	0.001	0.008	0.059	0.02	0.001	0.011	0.018	0.009	0.014		0.001	0.001	0.001	0.003	0.002		0.132	0.018	0.051	0.183	0.069	0.121	0.201	0.089	1.51	0.74	0.26	1.91	0.09	0.91	0.4	3.3	2	0.48	2.36	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-54_S50	AT32	54	7	Cast	11/24/15	11:17	40.5	-40.483	morning	11	Deep	150	151.166	1027.2992	1027.2992	36.1	1513.06	1513.06	0	2.2678	15.8344	4.503419	4.503415	99.317	0.0274	0.0236	0.0366	4.6941243	7.6					51.7	2	0.4				10.6	2	0	0		0.45		2.74		7.51		0		4.9	0.17	0.002603053	0.010369781	0.012972834																																										1.41	2	0.37	0.96	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-55_S51	AT32	55	7	Cast	11/24/15	11:17	40.5	-40.483	morning	9	Deep	200	202.211	1027.5864	1027.5864	36.0388	1512.36	1512.36	0	2.2875	15.358	4.450584	4.450649	99.383	0.0247	0.0218	0.027	4.5994343	13.5					52.1	2	0.3				11.1	2	0	0		0.48		2.72		7.94		0		4.92	0.04	4.33E-04	0.007420845	0.007853865																																										1.13	2	0.56	0.89	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES1-56_S52	AT32	56	7	Cast	11/24/15	11:17	40.5	-40.483	morning	7	Deep	300	302.423	1028.1388	1028.1394	35.819	1509.78	1509.77	0	2.2413	14.1018	4.305312	4.305147	99.4424	0.0224	0.0214	0.0317	4.5994343						50.9	2	0.8				11.8	2	0	0		0.6		3.43		9.43		0.04		4.65	0.31																																													1.08	2	0.12	0.79	2																				Y	Core	Cyclone	Strong	Subtropical	-11.5	1.1	1.8		58	no
NAAMES2-1_S21	AT34	90	1	Cast	5/18/16	6:04	56.336	-46.049	morning	24	Deep	5	6.837	1027.6263	1027.6263	34.7633	1466.57	1466.57	7.3442	2.9535	4.0331	3.23876	3.23877	93.6984		2.3368																																1.777	0.098	0.49	0.056	0.082	0.243	0.032	0.17	0.014	0.366	0.409	0.008	1.762		0.015	0.098		0.286	0.204	0.001	0.011	0.02	0.014	0.034	0.011		2.365	0.28	1.1	3.465	1.38	1.968	3.745	1.238	1.11	0.8	0.2	1.71	0.07	0.93	0.47																						34.03	10.6	1.17E-05	Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-2_S22	AT34	91	1	Cast	5/18/16	6:04	56.336	-46.049	morning	19	Deep	25	25.563	1027.7137	1027.7138	34.7637	1466.87	1466.87	7.3395	2.946	4.0325	3.239595	3.239614	93.7355		2.3318								52.4	2	0.6				17.2	2	0	0.46		0.83		7.67		12.44		0.12		7.47	0.01				1.956	0.099	0.551	0.061	0.099	0.296	0.033	0.181	0.01	0.416	0.42	0.008	1.94		0.016	0.099		0.308	0.243	0.001	0.011	0.02	0.018	0.028	0.013		2.606	0.293	1.231	3.837	1.524	2.174	4.13	1.371	1.11	0.81	0.19	1.71	0.07	0.93	0.47	41.54	2	0.76	18.75	2	1.27																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-3	AT34	92	1	Cast	5/18/16	6:04	56.336	-46.049	morning	17	Deep	50	52.472	1027.8725	1027.8726	34.779	1466.48	1466.48	7.2827	2.9057	3.8284	3.223914	3.223931	97.0606		0.691								51.5	2	0.5				16.8	2	0	0.47		0.88		8.14		13.17		0.13		7.58	0.27				0.557	0.052	0.164	0.02	0.029	0.093	0.015	0.036	0.003	0.144	0.011	0.005	0.554		0.003	0.052		0.076	0.088		0.006	0.009	0.007	0.032	0.005		0.773	0.079	0.277	1.05	0.356	0.572	1.129	0.349	1.03	0.78	0.22	2.17	0.07	0.93	0.49	28.11	2	1.57	18.72	2	2.07																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-4_S37	AT34	93	1	Cast	5/18/16	6:04	56.336	-46.049	morning	15	Deep	75	77.664	1028.0243	1028.0246	34.7929	1465.94	1465.95	7.1678	2.8456	3.5985	3.205706	3.20578	98.1708		0.2809								50.1	2	0.4				18.3	2	0	0.87		0.95		8.03		14.39		0.05		7.29	0.01				0.167	0.015	0.048	0.008	0.005	0.013	0.004	0.009		0.053		0.002	0.163		0.004	0.015		0.027	0.021		0.002	0.002	0.013	0.064	0.003		0.23	0.023	0.071	0.301	0.094	0.157	0.324	0.092	0.94	0.76	0.24	2.45	0.07	0.93	0.52	15.81	2	0.16	11.3	2	0.99																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-5_S23	AT34	94	1	Cast	5/18/16	6:04	56.336	-46.049	morning	13	Deep	100	102.253	1028.1866	1028.1868	34.8362	1465.86	1465.86	7.2196	2.8475	3.4687	3.198946	3.198971	98.3618		0.1424								51.4	2	0.7				17.7	2	0	1.56		0.96		8.11		13.66		0.09		7.33	0.01				0.217	0.025	0.063	0.008	0.012	0.043	0.006	0.013		0.055	0.002	0.002	0.214		0.003	0.025		0.029	0.034		0.003	0.004	0.004	0.024			0.305	0.029	0.112	0.417	0.141	0.229	0.446	0.145	1.06	0.79	0.21	2.16	0.07	0.93	0.49	20.12	2	0.36	11.8	2	3.87																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-6	AT34	95	1	Cast	5/18/16	6:04	56.336	-46.049	morning	11	Deep	150	151.665	1028.4304	1028.4305	34.8348	1466.05	1466.05	6.792	2.6857	3.3243	3.188147	3.188293	99.435		0.0239								49.5	2	0.5				18.8	2	0	1.45		1.03		8.36		15.85		0.1		6.95	0.03																																													3.08	2	0.19	4.04	2	0.32																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-7_S38	AT34	96	1	Cast	5/18/16	6:04	56.336	-46.049	morning	9	Deep	200	202.734	1028.6781	1028.6782	34.8408	1466.68	1466.68	6.7514	2.6555	3.2739	3.186606	3.186645	99.4212		-0.022								49.6	2	1.9				19.5	2	0	1.09		1.07		8.39		15.93		0		6.9	0.04																																													1.26	2	0.02	2.37	2	0.24																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
NAAMES2-8	AT34	97	1	Cast	5/18/16	6:04	56.336	-46.049	morning	7	Deep	300	303.987	1029.1549	1029.1554	34.8503	1468.4	1468.4	6.6977	2.6112	3.2849	3.192967	3.193013	99.4217		-0.0354								48.3	2	0.9				19.6	2	0	0.86		1.05		8.45		16.01		0		6.85	0																																													0.36	2	0.07	1.7	2	0.14																			Y	Core	Cyclone	Weak	Subpolar	-1.7	0.3	1.58	38.73646971	33	no
