	Cruise	position	Station	Type	Date	Time	Latitude	Longitude	cast	Niskin	Cast_Type	depth	Pressure	Density00	Density11	Sal11	SoundVel	SoundVel1	Oxygen_uM	Oxygen_V	Temperature	Conductivity	Conductivity1	BeamT	BeamAt	Fluorescence	Turbidity	UVP5	POC	PON	TOC	TOC_QF	TOC_sd	DOC	DOC_QF	DOC_sd	TN	TN_QF	TN_sd	TDN	TDN_QF	TDN_sd	NH4	NH4_sd	PO4	PO4_sd	SiO4	SiO4_sd	N_N	N_N_sd	NO2	NO2_sd	O2_Winkler	O2_Winkler_sd	Chl_a_Fluor	Phaeo_Fluor	T_a_Fluor	TChl_a	TChl_b	TChl_c	Alpha_beta_Car	But_fuco	Hex_fuco	Allo	Diadino	Diato	Fuco	Perid	Zea	MV_Chl_a	DV_Chl_a	Chlide_a	MV_Chl_b	DV_Chl_b	Chl_c2	Chl_c3	Lut	Neo	Viola	Phytin_a	Phide_a	Pras	Gyro	TChl	PPC	PSC	PSP	TCar	TAcc	TPg	DP	TAcc_Tchla	PSC_TCar	PPC_TCar	TChl_TCar	PPC_Tpg	PSP_TPg	TChla_TPg	BactProd	BactProd_QF	BactProd_sd	BactAbund	BactAbund_QF	BactAbund_sd	PhytoC	NPP	Pro_Influx	Syn_Influx	Pico_Influx	Nano_Influx	TPhyto	Nano	Pico	TPhyto_Sytox	Nano_Sytox	Pico_Sytox	TPhyto_ROS	Nano_ROS	Pico_ROS	Z_MLD	Z_XML	N2	Eddy	Eddy_Loc	Eddy_Polarity	Eddy_Retention	Subregion	MSLA	SLA_std	DMS	EZD	EZD_Morel	Vitamins
NAAMES2-34_S32	AT34	123	4	Cast	5/25/16	6:05	47.58	-38.848	morning	19	Deep	25	26.396	1026.8689	1026.8696	36.1422	1509.85	1509.84	5.2752	2.8126	15.4478	4.463144	4.463181	97.8925		0.6943								51.7	2	0				9.3	2	0	0.17		0.3		1.12		5.19		0.34		5.57	0.1				0.518	0.086	0.113	0.019	0.028	0.07	0.022	0.022	0.002	0.129	0.004	0.003	0.51		0.008	0.086		0.063	0.05		0.009	0.011	0.006	0.023	0.025		0.717	0.068	0.231	0.948	0.299	0.498	1.016	0.342	0.96	0.77	0.23	2.4	0.07	0.93	0.51	11.62	2	0.65	12.37	2	1.09	13.7																		Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-35_S33	AT34	124	4	Cast	5/25/16	6:05	47.58	-38.848	morning	17	Deep	50	50.665	1026.9752	1026.9759	36.1424	1510.26	1510.26	5.2697	2.8034	15.4522	4.464728	4.464752	97.884		0.723								54.4	2	0				9.7	2	0	0.18		0.3		1.08		5.13		0.07		5.51	0.01				0.525	0.087	0.114	0.019	0.029	0.07	0.023	0.023	0.002	0.131	0.005	0.003	0.518		0.007	0.087		0.063	0.051		0.009	0.011	0.005	0.026	0.025		0.726	0.07	0.235	0.961	0.305	0.506	1.031	0.348	0.96	0.77	0.23	2.38	0.07	0.93	0.51	12.8	2	0.15	11.27	2	0.73	13.6		0	2990000	20600000	1180000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-36_S54	AT34	125	4	Cast	5/25/16	6:05	47.58	-38.848	morning	15	Deep	75	75.73	1027.0855	1027.0862	36.1425	1510.68	1510.68	5.2715	2.7971	15.4549	4.466112	4.46618	97.9295		0.7267								54.1	2	0				9.4	2	0	0.26		0.3		1.1		5.19		0.35		5.57	0.13				0.523	0.089	0.119	0.019	0.03	0.071	0.021	0.021	0.002	0.131	0.005	0.003	0.519		0.004	0.089		0.066	0.053		0.009	0.01	0.006	0.024	0.024		0.731	0.066	0.237	0.968	0.303	0.511	1.034	0.35	0.98	0.78	0.22	2.41	0.06	0.94	0.51	12.69	2	0.67	13.03	2	0.85	12		0	3180000	21700000	997000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-37_S34	AT34	126	4	Cast	5/25/16	6:05	47.58	-38.848	morning	13	Deep	100	100.607	1027.1971	1027.1978	36.142	1511.07	1511.07	5.2207	2.7676	15.4453	4.466231	4.466278	98.6581		0.4452								52.4	2	0				9.2	2	0	0.18		0.3		1.12		5.27		0.29		5.57	0.21				0.381	0.063	0.089	0.014	0.026	0.051	0.016	0.013		0.095	0.004	0.002	0.377		0.004	0.063		0.046	0.043		0.006	0.006	0.006	0.031	0.019		0.533	0.045	0.176	0.709	0.221	0.373	0.754	0.257	0.98	0.8	0.2	2.41	0.06	0.94	0.51	9.93	2	0.1	10.35	2	1.25	6.3		0	2880000	18600000	927000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-38_S35	AT34	127	4	Cast	5/25/16	6:05	47.58	-38.848	morning	11	Deep	150	153.002	1027.4267	1027.4275	36.1423	1511.96	1511.96	5.2159	2.7511	15.453	4.469402	4.469467	98.6597		0.3848								53.3	2	0				8.8	2	0	0.32		0.31		1.1		5.3		0.37		5.62	0.3																																													9.63	2	2.4	12.01	2	0.94	6.3		0	2060000	10000000	448000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-39_S36	AT34	128	4	Cast	5/25/16	6:05	47.58	-38.848	morning	9	Deep	200	201.606	1027.6394	1027.6403	36.1407	1512.77	1512.77	5.2055	2.7331	15.454	4.471536	4.471582	98.6671		0.435								52.7	2	0				8.6	2	0	0.14		0.3		1.11		5.29		0.36		5.45	0.01																																													10.07	2	0.15	11.7	2	1.07	6.5		0	2000000	9960000	456000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-40_S55	AT34	129	4	Cast	5/25/16	6:05	47.58	-38.848	morning	7	Deep	300	304.645	1028.2077	1028.2072	35.9372	1510.42	1510.44	5.2101	2.6496	14.2536	4.332591	4.333107	99.8795		-0.0291								51	2	0				11.2	2	0	0.3		0.45		2.12		7.56		0.05		5.44	0																																													1.11	2	0.03	3.54	2	0.4			0	2090000	9960000	495000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69	64.83630309	46	no
NAAMES2-41_S1	AT34	130	4	Cast	5/26/16	6:09	47.392	-38.707	morning	24	Deep	5	5.573	1026.7371	1026.7376	36.1405	1510.02	1510.02	5.3561	2.8622	15.6176	4.479177	4.479281	96.7971		1.0811																																0.726	0.11	0.146	0.031	0.031	0.097	0.041	0.037	0.003	0.171	0.004	0.006	0.717		0.009	0.11		0.09	0.056	0.001	0.013	0.022	0.007	0.018	0.033		0.982	0.118	0.303	1.285	0.421	0.677	1.403	0.46	0.93	0.72	0.28	2.33	0.08	0.92	0.52																						5	-999	4.14E-06	Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-42_S2	AT34	131	4	Cast	5/26/16	6:09	47.392	-38.707	morning	19	Deep	25	25.392	1026.8597	1026.8599	36.1406	1509.87	1509.88	5.3513	2.8469	15.4653	4.464401	4.464745	96.3166		1.3542								53.7	2	0				8.5	2	0	0		0.24		1.1		4.97		0.15		5.59	0.01				0.868	0.138	0.188	0.035	0.039	0.135	0.045	0.037	0.003	0.195	0.009	0.006	0.863		0.005	0.138		0.111	0.077		0.016	0.021	0.01	0.028	0.045		1.194	0.126	0.378	1.572	0.504	0.83	1.698	0.567	0.96	0.75	0.25	2.37	0.07	0.93	0.51	17.95	2	9.54	11.17	2	2.49	26.8		0	4410000	43200000	1470000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
NAAMES2-43_S3	AT34	132	4	Cast	5/26/16	6:09	47.392	-38.707	morning	17	Deep	50	50.931	1026.9751	1026.9762	36.1413	1510.27	1510.27	5.3064	2.8194	15.4526	4.464633	4.464683	97.5512		1.1742								53.2	2	0				8.4	2	0	0		0.24		1.11		5.13		0.34		5.53	0.01				0.737	0.137	0.28	0.027	0.037	0.101	0.025	0.024		0.201	0.004	0.004	0.732		0.005	0.137		0.196	0.084		0.015	0.012	0.008	0.041	0.044		1.154	0.08	0.343	1.497	0.423	0.84	1.577	0.509	1.14	0.81	0.19	2.73	0.05	0.95	0.47	18.26	2	1.2	17.98	2	1.79	17.7		0	5420000	46500000	1550000													Y	Core	Anticyclone	Moderate	Subtropical	21.9	6.6	0.69		40	no
