	Domain	Phylum	Class	Order	Family	Genus
N165	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N167	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N168	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N169	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	uncharact1
N170	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	IV	IV
N171	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N172	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N173	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N174	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N175	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N176	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N177	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N178	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N179	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N180	Bacteria	Chloroflexi	S085			
N183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N184	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N186	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N187	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	
N188	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N190	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N191	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N196	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N197	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N199	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N201	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N202	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N203	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N204	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N205	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N206	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N207	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N208	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N209	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N210	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N211	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N212	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N213	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N214	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N215	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N217	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N218	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N219	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N220	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N221	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N222	Bacteria					
N223	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N224	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N225	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N226	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N227	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
N228	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N229	Bacteria					
N230	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N231	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N232	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N233	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N234	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N235	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N239	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N240	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N242	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N244	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N245	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N246	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N248	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N249	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade		
N250	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Id
N252	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N253	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	
N254	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	
N255	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	IV	IV
N256	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N257	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	
N258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N259	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ic.2
N260	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N261	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N262	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.A
N263	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N264	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade5	SAR202_clade5	
N265	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIb
N266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N267	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N268	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N270	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N271	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N272	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N273	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	
N274	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N275	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.2
N276	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N278	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N279	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ib.1
N280	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N281	Bacteria	Proteobacteria	Gammaproteobacteria			
N282	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N283	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.A
N284	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N285	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N287	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N288	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
N289	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	IIa.B
N290	Bacteria					
N291	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N292	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N293	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N294	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	uncharact1
N295	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N296	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N297	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade1	SAR202_clade1	
N299	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N300	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade3	SAR202_clade3	
N301	Bacteria	Proteobacteria	SPOTSOCT00m83			
N302	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N303	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N304	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	clade N2	
N305	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N306	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N307	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Id
N308	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N310	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.4
N312	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	II	II
N313	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N314	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N315	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N316	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	I_basal
N318	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	
