	Domain	Phylum	Class	Order	Family	Genus
N23412	Bacteria					
N23414	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
N23415						
N23417	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
N23418	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14		
N23419	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N23420	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anaerobacillus
N23423	Bacteria	Bacteroidetes	Cytophagia	Cytophagales		
N23428	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
N23429						
N23432						
N23433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N23435	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N23436	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N23437	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N23438	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.3
N23439	Bacteria	Proteobacteria	Gammaproteobacteria			
N23443						
N23447						
N23454	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N23455	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales		
N23456	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
N23457	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter
N23458						
N23459	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N23460	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes:BD2-11		
N23462	Bacteria	Planctomycetes	Pla3_lineage			
N23463	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
N23464	Bacteria	Proteobacteria	Deltaproteobacteria			
N23465	Bacteria					
N23467	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N23468	Bacteria					
N23469	Bacteria					
N23470	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N23472	Bacteria					
N23473	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium
N23474	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula
N23476						
N23477	Bacteria					
N23478	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N23480	Bacteria	Planctomycetes	SPG12-401-411-B72			
N23484	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	
N23485	Bacteria	Planctomycetes	Pla4_lineage			
N23487	Bacteria	Proteobacteria	Deltaproteobacteria			
N23488	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
N23492	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	CrystalBog021C3	
N23494	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	
N23495	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	
N23497	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales		
N23498	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		
N23500	Bacteria					
N23501						
N23504	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N23507	Bacteria	Proteobacteria				
N23508	Bacteria	Proteobacteria	Gammaproteobacteria			
N23509						
N23510						
N23511	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N23514	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	
N23516	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
N23522	Bacteria					
N23523	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N23524	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	
N23526	Bacteria	Proteobacteria				
N23527	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	VHS-B3-70	
N23528	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N23530	Bacteria	Candidate_division_SR1				
N23534	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N23535						
N23536	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	
N23538	Bacteria					
N23539	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	
N23540						
N23541	Bacteria					
N23543	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
N23544						
N23545	Bacteria	Proteobacteria	Deltaproteobacteria			
N23547	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	
N23548						
N23550	Bacteria	Gemmatimonadetes	Gemmatimonadetes	PAUC43f_marine_benthic_group		
N23554						
N23567						
N23573	Bacteria					
N23574						
N23576						
N23578						
N23581	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N23582	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	
N23583	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N23584	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N23586	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas
N23591	Bacteria					
N23593	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N23596	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
N23597	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N23599						
N23600	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N23602	Bacteria					
N23603						
N23605						
N23606	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
N23610						
N23611	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N23612	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
N23616	Bacteria	Acidobacteria	Subgroup_26	Acidobacteria_s26	Acidobacteria_s26	
N23618	Bacteria	Proteobacteria				
N23619	Bacteria	Omnitrophica	NPL-UPA2			
N23625	Bacteria					
N23627	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N23628	Bacteria	Proteobacteria	Gammaproteobacteria			
N23629	Bacteria					
N23630	Bacteria					
N23631	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	LWSR-14	
N23632	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales		
N23633	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
N23635	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula
N23636	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
N23637	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N23639	Bacteria	Proteobacteria	Gammaproteobacteria			
N23640	Bacteria	Gracilibacteria				
N23641	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N23642	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	
N23643	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	
N23644	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N23645	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N23646	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Fulvimonas
N23648	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N23650	Bacteria	Gracilibacteria				
N23651	Bacteria	Proteobacteria				
N23654	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N23655	Bacteria	Proteobacteria	Alphaproteobacteria			
N23659						
N23662	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N23663						
N23665	Bacteria	Proteobacteria	Deltaproteobacteria			
N23667	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N23668	Archaea					
N23669	Bacteria					
N23670	Bacteria					
N23671	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
N23672	Bacteria	Proteobacteria	Gammaproteobacteria			
N23673	Bacteria					
N23674	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N23676	Bacteria	Proteobacteria	Deltaproteobacteria			
N23677	Bacteria	Acidobacteria	Acidobacteria	Subgroup_11		
N23680	Bacteria	Verrucomicrobia				
N23685	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N23689	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Panacagrimonas
N23691						
N23698	Bacteria					
N23699						
N23700	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	
N23701	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	I	Ia.1
N23704	Bacteria					
N23705	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Pelagicoccus
N23706	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	
N23707	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	
N23708	Bacteria					
N23709	Bacteria					
N23711	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N23713	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Fangia
N23715						
N23716	Bacteria					
N23720						
N23721	Bacteria					
N23723	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N23724	Bacteria	Verrucomicrobia	Opitutae	Verrucomicrobia:MB11C04		
N23726	Bacteria					
N23728	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N23729	Bacteria					
N23732	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N23734						
N23744						
N23746						
N23747						
N23750						
N23755	Bacteria					
N23756						
N23760	Bacteria					
N23765	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N23777	Bacteria					
N23780						
N23781						
N23794						
N23802						
N23803						
N23806						
N23809						
N23811						
N23816	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	
N23817						
N23818	Bacteria					
N23820						
N23823						
N23824						
N23828						
N23837	Bacteria	Proteobacteria				
N23838	Bacteria	Proteobacteria	AEGEAN-245			
N23840	Bacteria	Acidobacteria	Acidobacteria	Acidobacteria_s6		
N23842						
N23846	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
N23847						
N23849	Bacteria	Proteobacteria	SC3-20			
N23855	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
N23856	Bacteria	Proteobacteria				
N23859	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
N23860	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N23861	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013
N23862	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales		
N23865	Bacteria	Proteobacteria				
N23867						
N23868	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	
N23873	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmatales_Incertae_Sedis	Candidatus_Hepatoplasma
N23881	Bacteria					
N23882	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas
N23883	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	
N23887	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N23891	Bacteria	Proteobacteria				
N23896						
N23899	Bacteria	Proteobacteria				
N23901	Bacteria	Bacteroidetes				
N23902	Bacteria					
N23904	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	
N23908	Bacteria	Proteobacteria				
N23912	Bacteria	Proteobacteria				
N23913	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Candidatus_Photodesmus
N23914	Bacteria					
N23918	Bacteria	Proteobacteria				
N23920	Bacteria	Proteobacteria				
N23921	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales		
N23922	Bacteria					
N23923	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
N23924						
N23926	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	
N23927	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N23929	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N23930	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N23931	Bacteria	Planctomycetes				
N23933						
N23936	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	
N23941	Bacteria	Parcubacteria				
N23944	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
N23945	Bacteria	Gracilibacteria				
N23946	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
N23947	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N23949	Bacteria	Planctomycetes				
N23950	Bacteria	Proteobacteria	Gammaproteobacteria			
N23951	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales		
N23952	Bacteria	Proteobacteria	Gammaproteobacteria	EC3		
N23953	Bacteria	Proteobacteria	Gammaproteobacteria			
N23956	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	
N23959	Bacteria	Parcubacteria				
N23962	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N23968	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N23972	Bacteria	Proteobacteria	Deltaproteobacteria			
N23978	Bacteria					
N23984	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea
N23988						
N23989	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aliiglaciecola
N23991	Bacteria	Proteobacteria	Alphaproteobacteria			
N23998						
N23999	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N24003	Bacteria	Proteobacteria				
N24005	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N24006	Bacteria	Proteobacteria				
N24007	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
N24008						
N24009	Bacteria	Bacteroidetes				
N24010	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	
N24011	Bacteria	Proteobacteria				
N24012	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales		
N24014	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
N24015	Bacteria					
N24017						
N24019	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
N24020	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N24021	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N24023	Bacteria	Proteobacteria				
N24025	Bacteria	Planctomycetes	OM190	OM190	OM190	
N24027	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N24028						
N24029						
N24030	Bacteria	Chloroflexi				
N24033	Bacteria	Proteobacteria	Gammaproteobacteria			
N24034	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5		
N24036	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N24038	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	
N24039	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14		
N24040	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N24041	Bacteria	Lentisphaerae	SS1-B-03-39			
N24042	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N24044	Bacteria	Proteobacteria				
N24046	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	
N24048	Bacteria	Proteobacteria				
N24049						
N24051	Bacteria	Proteobacteria	Deltaproteobacteria			
N24052						
N24053	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N24056	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	
N24057	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutaonella
N24058	Bacteria	Proteobacteria	Gammaproteobacteria			
N24059	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira
N24060	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N24062	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
N24065						
N24066	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N24071	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Cryptosporangiaceae	Fodinicola
N24073						
N24074	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N24076	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nit5Au0613-695	
N24077	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N24078	Bacteria	Proteobacteria	Deltaproteobacteria			
N24079	Bacteria	Proteobacteria	Gammaproteobacteria			
N24082	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
N24084	Bacteria	Lentisphaerae	SS1-B-03-39			
N24085	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	
N24087	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SUP05_cluster	
N24088	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
N24089						
N24091	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga
N24092	Bacteria	Proteobacteria				
N24095	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea
N24096	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N24097	Bacteria	Proteobacteria	Gammaproteobacteria			
N24103	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales		
N24104	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
N24106	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales		
N24108						
N24109	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales		
N24110	Bacteria	PAUC34f				
N24111	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14		
N24112	Bacteria	Proteobacteria	Alphaproteobacteria			
N24113	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N24114	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29		
N24116	Bacteria	Cyanobacteria	ML635J-21			
N24117	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Gven-D09	
N24119						
N24120	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	
N24121	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
N24122	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	
N24123	Bacteria	Bacteroidetes				
N24124	Bacteria	Bacteroidetes	Cytophagia	Order_III	Unknown_Family	Gracilimonas
N24125	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N24128	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Psychrobium
N24130	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hellea
N24132	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N24134	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
N24139	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	
N24140						
N24145	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	
N24147						
N24150	Bacteria	Gracilibacteria				
N24151						
N24157	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	
N24160	Bacteria	Proteobacteria				
N24163	Bacteria	Verrucomicrobia	Opitutae	Opitutae	Opitutae	
N24164	Bacteria	Cyanobacteria	ML635J-21			
N24169	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales		
N24174						
N24176	Bacteria	Proteobacteria	Gammaproteobacteria			
N24177						
N24178	Bacteria					
N24179	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N24181	Bacteria					
N24182						
N24187	Bacteria					
N24188	Bacteria	Planctomycetes	BD7-11			
N24189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	
N24190	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N24191	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group		
N24192	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
N24193	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	Verrucomicrobia:Arctic97B-4	Arctic97B-4_marine_group	
N24195	Bacteria	Planctomycetes	Phycisphaerae	WD2101_soil_group		
N24196	Bacteria	Saccharibacteria				
N24198	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
N24200	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45		
N24202	Bacteria	Saccharibacteria				
N24205	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N24206	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga
N24207	Bacteria	Proteobacteria	Deltaproteobacteria			
N24208	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N24212						
N24213						
N24215	Bacteria					
N24217	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N24218						
N24221						
N24222	Bacteria	Bacteroidetes				
N24223	Bacteria	Proteobacteria	Gammaproteobacteria			
N24225	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade	SAR202_clade	
N24226	Bacteria	Acidobacteria	Acidobacteria	Subgroup_5		
N24228	Bacteria	Proteobacteria				
N24232	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	
N24234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
N24237	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Halobacteriovorax
N24238	Bacteria	Chloroflexi	SAR202_clade	SAR202_clade2	SAR202_clade2	
N24239	Bacteria					
N24240	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga
N24241	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales		
N24244						
N24245	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Cryptoprodotis
N24247	Bacteria	Proteobacteria				
N24248	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
N24250						
N24251						
N24252	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter
N24255	Bacteria	Proteobacteria				
N24256	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula
N24259	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira
N24260	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccus
N24267	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nit5Au0613-695	
N24274	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N24277	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N24278	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	LWSR-14	
N24282	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N24286	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N24287	Bacteria					
N24288						
N24290						
N24292	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		
N24293	Bacteria	SAR406_clade	SAR406_clade	SAR406_clade	SAR406_clade	
N24294	Bacteria	Planctomycetes	Pla3_lineage			
N24298	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	
N24299	Bacteria	Acidobacteria	Subgroup_26	Acidobacteria_s26	Acidobacteria_s26	
N24302	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
N24303	Bacteria	Gracilibacteria				
N24304	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5		
N24306	Bacteria					
N24307	Bacteria	Proteobacteria	Gammaproteobacteria			
N24308	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio
N24309						
N24311	Bacteria					
